seq,rtt_ms,status
1,5.072500,OK
2,4.184200,OK
3,4.327400,OK
4,4.285700,OK
5,4.486800,OK
6,4.351600,OK
7,4.396200,OK
8,4.968500,OK
9,4.955000,OK
10,4.401900,OK
11,4.724100,OK
12,4.419500,OK
13,5.157600,OK
14,4.607100,OK
15,5.148600,OK
16,4.727200,OK
17,5.200500,OK
18,5.149000,OK
19,5.171700,OK
20,5.172700,OK
21,5.010800,OK
22,5.040700,OK
23,4.855300,OK
24,4.792100,OK
25,5.674600,OK
26,4.469000,OK
27,5.393100,OK
28,5.053200,OK
29,4.572600,OK
30,4.715000,OK
31,4.448200,OK
32,4.882500,OK
33,4.761400,OK
34,4.610400,OK
35,6.230300,OK
36,4.835400,OK
37,4.482200,OK
38,5.324100,OK
39,4.905400,OK
40,4.762600,OK
41,5.946000,OK
42,5.032100,OK
43,6.172100,OK
44,5.038300,OK
45,4.996000,OK
46,5.406300,OK
47,4.642300,OK
48,5.518400,OK
49,5.030900,OK
50,5.573500,OK
51,5.583700,OK
52,5.107900,OK
53,5.109000,OK
54,5.002600,OK
55,5.030600,OK
56,5.196700,OK
57,5.512700,OK
58,5.408800,OK
59,5.564000,OK
60,4.928600,OK
61,4.789300,OK
62,5.326500,OK
63,5.813200,OK
64,5.527700,OK
65,5.479300,OK
66,5.164800,OK
67,4.795800,OK
68,4.829300,OK
69,5.193500,OK
70,4.772200,OK
71,5.202500,OK
72,4.674500,OK
73,6.977500,OK
74,5.632600,OK
75,5.558000,OK
76,5.090600,OK
77,5.745900,OK
78,5.698800,OK
79,5.937200,OK
80,5.837100,OK
81,5.619100,OK
82,5.074100,OK
83,5.346200,OK
84,6.275700,OK
85,5.306700,OK
86,4.852200,OK
87,3.992300,OK
88,4.472900,OK
89,3.728400,OK
90,5.072200,OK
91,3.978300,OK
92,4.180200,OK
93,3.904100,OK
94,3.852400,OK
95,4.142800,OK
96,4.589200,OK
97,4.108200,OK
98,4.413700,OK
99,4.145500,OK
100,4.334900,OK
