seq,uptime_ms,status_flags,legacy_sample,status
15694,1569570,0,,OK
15695,1569670,0,,OK
15696,1569770,0,,OK
15697,1569870,0,,OK
15698,1569970,0,,OK
15699,1570070,0,,OK
15700,1570170,0,,OK
15701,1570270,0,,OK
15702,1570370,0,,OK
15703,1570470,0,,OK
15704,1570570,0,,OK
15705,1570670,0,,OK
15706,1570770,0,,OK
15707,1570870,0,,OK
15708,1570970,0,,OK
15709,1571070,0,,OK
15710,1571170,0,,OK
15711,1571270,0,,OK
15712,1571370,0,,OK
15713,1571470,0,,OK
15714,1571570,0,,OK
15715,1571670,0,,OK
15716,1571770,0,,OK
15717,1571870,0,,OK
15718,1571970,0,,OK
15719,1572070,0,,OK
15720,1572170,0,,OK
15721,1572270,0,,OK
15722,1572370,0,,OK
15723,1572470,0,,OK
15724,1572570,0,,OK
15725,1572670,0,,OK
15726,1572770,0,,OK
15727,1572870,0,,OK
15728,1572970,0,,OK
15729,1573070,0,,OK
15730,1573170,0,,OK
15731,1573270,0,,OK
15732,1573370,0,,OK
15733,1573470,0,,OK
15734,1573570,0,,OK
15735,1573670,0,,OK
15736,1573770,0,,OK
15737,1573870,0,,OK
15738,1573970,0,,OK
15739,1574070,0,,OK
15740,1574170,0,,OK
15741,1574270,0,,OK
15742,1574370,0,,OK
15743,1574470,0,,OK
15744,1574570,0,,OK
15745,1574670,0,,OK
15746,1574770,0,,OK
15747,1574870,0,,OK
15748,1574970,0,,OK
15749,1575070,0,,OK
15750,1575170,0,,OK
15751,1575270,0,,OK
15752,1575370,0,,OK
15753,1575470,0,,OK
15754,1575570,0,,OK
15755,1575670,0,,OK
15756,1575770,0,,OK
15757,1575870,0,,OK
15758,1575970,0,,OK
15759,1576070,0,,OK
15760,1576170,0,,OK
15761,1576270,0,,OK
15762,1576370,0,,OK
15763,1576470,0,,OK
15764,1576570,0,,OK
15765,1576670,0,,OK
15766,1576770,0,,OK
15767,1576870,0,,OK
15768,1576970,0,,OK
15769,1577070,0,,OK
15770,1577170,0,,OK
15771,1577270,0,,OK
15772,1577370,0,,OK
15773,1577470,0,,OK
15774,1577570,0,,OK
15775,1577670,0,,OK
15776,1577770,0,,OK
15777,1577870,0,,OK
15778,1577970,0,,OK
15779,1578070,0,,OK
15780,1578170,0,,OK
15781,1578270,0,,OK
15782,1578370,0,,OK
15783,1578470,0,,OK
15784,1578570,0,,OK
15785,1578670,0,,OK
15786,1578770,0,,OK
15787,1578870,0,,OK
15788,1578970,0,,OK
15789,1579070,0,,OK
15790,1579170,0,,OK
15791,1579270,0,,OK
15792,1579370,0,,OK
15793,1579470,0,,OK
15794,1579570,0,,OK
15795,1579670,0,,OK
15796,1579770,0,,OK
15797,1579870,0,,OK
15798,1579970,0,,OK
15799,1580070,0,,OK
15800,1580170,0,,OK
15801,1580270,0,,OK
15802,1580370,0,,OK
15803,1580470,0,,OK
15804,1580570,0,,OK
15805,1580670,0,,OK
15806,1580770,0,,OK
15807,1580870,0,,OK
15808,1580970,0,,OK
15809,1581070,0,,OK
15810,1581170,0,,OK
15811,1581270,0,,OK
15812,1581370,0,,OK
15813,1581470,0,,OK
15814,1581570,0,,OK
15815,1581670,0,,OK
15816,1581770,0,,OK
15817,1581870,0,,OK
15818,1581970,0,,OK
15819,1582070,0,,OK
15820,1582170,0,,OK
15821,1582270,0,,OK
15822,1582370,0,,OK
15823,1582470,0,,OK
15824,1582570,0,,OK
15825,1582670,0,,OK
15826,1582770,0,,OK
15827,1582870,0,,OK
15828,1582970,0,,OK
15829,1583070,0,,OK
15830,1583170,0,,OK
15831,1583270,0,,OK
15832,1583370,0,,OK
15833,1583470,0,,OK
15834,1583570,0,,OK
