seq,rtt_ms,status
1,4.359800,OK
2,4.395100,OK
3,4.463700,OK
4,4.616200,OK
5,5.152500,OK
6,5.401900,OK
7,5.539200,OK
8,4.645900,OK
9,6.359200,OK
10,5.659600,OK
11,5.214800,OK
12,5.074800,OK
13,5.464400,OK
14,5.036000,OK
15,5.913100,OK
16,5.034200,OK
17,5.822600,OK
18,5.009700,OK
19,4.804500,OK
20,5.301700,OK
21,5.164500,OK
22,5.348900,OK
23,5.214100,OK
24,6.162900,OK
25,4.746100,OK
26,5.643100,OK
27,5.986200,OK
28,5.333500,OK
29,5.928800,OK
30,5.720100,OK
31,5.788800,OK
32,5.159200,OK
33,6.822000,OK
34,6.262400,OK
35,5.634600,OK
36,6.385300,OK
37,5.620200,OK
38,5.052200,OK
39,5.560300,OK
40,5.890400,OK
41,5.094200,OK
42,5.910800,OK
43,5.886200,OK
44,5.948400,OK
45,5.754900,OK
46,5.622600,OK
47,6.042600,OK
48,6.798100,OK
49,6.068600,OK
50,4.022100,OK
51,5.556200,OK
52,5.267300,OK
53,5.399600,OK
54,4.783700,OK
55,4.648200,OK
56,5.259500,OK
57,4.562100,OK
58,4.261400,OK
59,6.009000,OK
60,4.844600,OK
61,5.165900,OK
62,5.192400,OK
63,5.442600,OK
64,4.986900,OK
65,4.651400,OK
66,4.736600,OK
67,4.727400,OK
68,5.168200,OK
69,4.353500,OK
70,5.019900,OK
71,5.461500,OK
72,5.366500,OK
73,4.976400,OK
74,4.649400,OK
75,6.100100,OK
76,5.231000,OK
77,6.007200,OK
78,5.554200,OK
79,5.221600,OK
80,5.996800,OK
81,5.447100,OK
82,5.329700,OK
83,4.510600,OK
84,5.276700,OK
85,5.087100,OK
86,4.774200,OK
87,5.198100,OK
88,5.507600,OK
89,5.293200,OK
90,4.739400,OK
91,5.287500,OK
92,5.739500,OK
93,5.642400,OK
94,5.409200,OK
95,5.660900,OK
96,4.388500,OK
97,5.339500,OK
98,5.428900,OK
99,4.745500,OK
100,4.591900,OK
