seq,uptime_ms,status_flags,legacy_sample,status
17916,1791770,0,,OK
17917,1791870,0,,OK
17918,1791970,0,,OK
17919,1792070,0,,OK
17920,1792170,0,,OK
17921,1792270,0,,OK
17922,1792370,0,,OK
17923,1792470,0,,OK
17924,1792570,0,,OK
17925,1792670,0,,OK
17926,1792770,0,,OK
17927,1792870,0,,OK
17928,1792970,0,,OK
17929,1793070,0,,OK
17930,1793170,0,,OK
17931,1793270,0,,OK
17932,1793370,0,,OK
17933,1793470,0,,OK
17934,1793570,0,,OK
17935,1793670,0,,OK
17936,1793770,0,,OK
17937,1793870,0,,OK
17938,1793970,0,,OK
17939,1794070,0,,OK
17940,1794170,0,,OK
17941,1794270,0,,OK
17942,1794370,0,,OK
17943,1794470,0,,OK
17944,1794570,0,,OK
17945,1794670,0,,OK
17946,1794770,0,,OK
17947,1794870,0,,OK
17948,1794970,0,,OK
17949,1795070,0,,OK
17950,1795170,0,,OK
17951,1795270,0,,OK
17952,1795370,0,,OK
17953,1795470,0,,OK
17954,1795570,0,,OK
17955,1795670,0,,OK
17956,1795770,0,,OK
17957,1795870,0,,OK
17958,1795970,0,,OK
17959,1796070,0,,OK
17960,1796170,0,,OK
17961,1796270,0,,OK
17962,1796370,0,,OK
17963,1796470,0,,OK
17964,1796570,0,,OK
17965,1796670,0,,OK
17966,1796770,0,,OK
17967,1796870,0,,OK
17968,1796970,0,,OK
17969,1797070,0,,OK
17970,1797170,0,,OK
17971,1797270,0,,OK
17972,1797370,0,,OK
17973,1797470,0,,OK
17974,1797570,0,,OK
17975,1797670,0,,OK
17976,1797770,0,,OK
17977,1797870,0,,OK
17978,1797970,0,,OK
17979,1798070,0,,OK
17980,1798170,0,,OK
17981,1798270,0,,OK
17982,1798370,0,,OK
17983,1798470,0,,OK
17984,1798570,0,,OK
17985,1798670,0,,OK
17986,1798770,0,,OK
17987,1798870,0,,OK
17988,1798970,0,,OK
17989,1799070,0,,OK
17990,1799170,0,,OK
17991,1799270,0,,OK
17992,1799370,0,,OK
17993,1799470,0,,OK
17994,1799570,0,,OK
17995,1799670,0,,OK
17996,1799770,0,,OK
17997,1799870,0,,OK
17998,1799970,0,,OK
17999,1800070,0,,OK
18000,1800170,0,,OK
18001,1800270,0,,OK
18002,1800370,0,,OK
18003,1800470,0,,OK
18004,1800570,0,,OK
18005,1800670,0,,OK
18006,1800770,0,,OK
18007,1800870,0,,OK
18008,1800970,0,,OK
18009,1801070,0,,OK
18010,1801170,0,,OK
18011,1801270,0,,OK
18012,1801370,0,,OK
18013,1801470,0,,OK
18014,1801570,0,,OK
18015,1801670,0,,OK
18016,1801770,0,,OK
18017,1801870,0,,OK
18018,1801970,0,,OK
18019,1802070,0,,OK
18020,1802170,0,,OK
18021,1802270,0,,OK
18022,1802370,0,,OK
18023,1802470,0,,OK
18024,1802570,0,,OK
18025,1802670,0,,OK
18026,1802770,0,,OK
18027,1802870,0,,OK
18028,1802970,0,,OK
18029,1803070,0,,OK
18030,1803170,0,,OK
18031,1803270,0,,OK
18032,1803370,0,,OK
18033,1803470,0,,OK
18034,1803570,0,,OK
18035,1803670,0,,OK
18036,1803770,0,,OK
18037,1803870,0,,OK
18038,1803970,0,,OK
18039,1804070,0,,OK
18040,1804170,0,,OK
18041,1804270,0,,OK
18042,1804370,0,,OK
18043,1804470,0,,OK
18044,1804570,0,,OK
18045,1804670,0,,OK
18046,1804770,0,,OK
18047,1804870,0,,OK
18048,1804970,0,,OK
18049,1805070,0,,OK
18050,1805170,0,,OK
18051,1805270,0,,OK
18052,1805370,0,,OK
18053,1805470,0,,OK
18054,1805570,0,,OK
18055,1805670,0,,OK
18056,1805770,0,,OK
18057,1805870,0,,OK
18058,1805970,0,,OK
18059,1806070,0,,OK
18060,1806170,0,,OK
18061,1806270,0,,OK
18062,1806370,0,,OK
18063,1806470,0,,OK
18064,1806570,0,,OK
18065,1806670,0,,OK
18066,1806770,0,,OK
18067,1806870,0,,OK
18068,1806970,0,,OK
18069,1807070,0,,OK
18070,1807170,0,,OK
18071,1807270,0,,OK
18072,1807370,0,,OK
18073,1807470,0,,OK
18074,1807570,0,,OK
18075,1807670,0,,OK
18076,1807770,0,,OK
18077,1807870,0,,OK
18078,1807970,0,,OK
18079,1808070,0,,OK
18080,1808170,0,,OK
18081,1808270,0,,OK
18082,1808370,0,,OK
18083,1808470,0,,OK
18084,1808570,0,,OK
18085,1808670,0,,OK
18086,1808770,0,,OK
18087,1808870,0,,OK
18088,1808970,0,,OK
18089,1809070,0,,OK
18090,1809170,0,,OK
18091,1809270,0,,OK
18092,1809370,0,,OK
18093,1809470,0,,OK
18094,1809570,0,,OK
18095,1809670,0,,OK
18096,1809770,0,,OK
18097,1809870,0,,OK
18098,1809970,0,,OK
18099,1810070,0,,OK
18100,1810170,0,,OK
18101,1810270,0,,OK
18102,1810370,0,,OK
18103,1810470,0,,OK
18104,1810570,0,,OK
18105,1810670,0,,OK
18106,1810770,0,,OK
18107,1810870,0,,OK
18108,1810970,0,,OK
18109,1811070,0,,OK
18110,1811170,0,,OK
18111,1811270,0,,OK
18112,1811370,0,,OK
18113,1811470,0,,OK
18114,1811570,0,,OK
18115,1811670,0,,OK
18116,1811770,0,,OK
18117,1811870,0,,OK
18118,1811970,0,,OK
18119,1812070,0,,OK
18120,1812170,0,,OK
18121,1812270,0,,OK
18122,1812370,0,,OK
18123,1812470,0,,OK
18124,1812570,0,,OK
18125,1812670,0,,OK
18126,1812770,0,,OK
18127,1812870,0,,OK
18128,1812970,0,,OK
