seq,rtt_ms,status
1,3.877100,OK
2,4.412800,OK
3,4.012900,OK
4,4.248000,OK
5,4.366900,OK
6,4.008300,OK
7,3.910300,OK
8,4.675800,OK
9,4.656300,OK
10,4.949200,OK
11,4.296000,OK
12,4.325600,OK
13,4.512600,OK
14,4.680800,OK
15,4.408100,OK
16,5.667400,OK
17,4.586800,OK
18,4.884100,OK
19,4.713700,OK
20,4.675900,OK
21,4.700800,OK
22,4.473300,OK
23,4.676500,OK
24,4.855000,OK
25,4.873700,OK
26,4.847500,OK
27,4.913600,OK
28,4.078600,OK
29,4.888100,OK
30,4.906600,OK
31,4.982600,OK
32,4.757000,OK
33,4.497900,OK
34,4.052300,OK
35,5.812200,OK
36,4.570400,OK
37,4.691700,OK
38,4.837900,OK
39,4.196400,OK
40,4.708900,OK
41,4.631200,OK
42,4.763900,OK
43,4.895100,OK
44,5.554300,OK
45,4.965600,OK
46,4.465400,OK
47,4.410500,OK
48,4.646500,OK
49,5.247800,OK
50,4.996400,OK
51,4.695100,OK
52,4.723000,OK
53,4.950500,OK
54,4.771800,OK
55,6.698400,OK
56,4.682600,OK
57,4.597200,OK
58,4.878400,OK
59,4.690400,OK
60,5.025000,OK
61,5.076200,OK
62,4.665900,OK
63,5.780200,OK
64,4.553100,OK
65,5.662400,OK
66,5.371900,OK
67,4.908800,OK
68,4.764400,OK
69,5.058500,OK
70,4.672600,OK
71,4.888000,OK
72,5.299200,OK
73,5.177800,OK
74,5.491100,OK
75,5.015900,OK
76,4.786000,OK
77,5.338900,OK
78,4.737700,OK
79,4.809300,OK
80,4.821700,OK
81,4.670400,OK
82,4.667900,OK
83,4.994100,OK
84,4.803500,OK
85,5.068800,OK
86,4.794900,OK
87,6.763300,OK
88,4.743700,OK
89,4.702600,OK
90,5.402100,OK
91,5.608700,OK
92,4.677600,OK
93,3.790300,OK
94,5.219900,OK
95,5.249500,OK
96,4.484400,OK
97,4.678100,OK
98,4.733600,OK
99,4.123400,OK
100,4.748500,OK
101,3.991400,OK
102,4.653800,OK
103,4.715100,OK
104,3.857300,OK
105,4.686600,OK
106,4.086100,OK
107,4.065600,OK
108,4.735800,OK
109,4.238400,OK
110,4.275600,OK
111,3.938700,OK
112,4.794600,OK
113,4.879300,OK
114,4.940700,OK
115,3.973900,OK
116,4.747400,OK
117,4.074600,OK
118,4.867800,OK
119,4.075200,OK
120,4.627900,OK
121,4.776000,OK
122,5.046400,OK
123,4.580700,OK
124,4.945400,OK
125,4.810100,OK
126,4.862200,OK
127,4.869400,OK
128,4.647400,OK
129,4.895000,OK
130,4.667600,OK
131,4.232300,OK
132,5.077900,OK
133,4.115600,OK
134,4.056300,OK
135,4.335000,OK
136,4.036000,OK
137,4.109500,OK
138,4.345900,OK
139,4.917500,OK
140,4.402800,OK
141,4.944600,OK
142,4.871000,OK
143,4.485700,OK
144,4.560700,OK
145,5.013600,OK
146,4.827700,OK
147,4.919500,OK
148,5.052400,OK
149,5.048300,OK
150,4.450200,OK
151,4.907200,OK
152,4.396900,OK
153,4.667900,OK
154,4.884900,OK
155,4.324800,OK
156,5.117400,OK
157,4.896700,OK
158,5.620900,OK
159,4.506100,OK
160,4.683100,OK
161,4.785100,OK
162,4.704700,OK
163,5.047800,OK
164,4.582300,OK
165,5.066000,OK
166,4.719600,OK
167,4.926500,OK
168,5.507700,OK
169,4.770500,OK
170,5.346900,OK
171,4.852700,OK
172,5.000300,OK
173,4.661200,OK
174,5.812200,OK
175,4.704200,OK
176,4.782700,OK
177,4.667400,OK
178,4.727000,OK
179,4.760800,OK
180,5.477600,OK
181,4.621700,OK
182,7.001400,OK
183,5.356200,OK
184,4.668600,OK
185,4.948300,OK
186,4.830400,OK
187,6.826100,OK
188,5.025600,OK
189,4.692400,OK
190,4.923100,OK
191,5.556800,OK
192,5.654200,OK
193,5.032000,OK
194,5.437700,OK
195,5.235400,OK
196,5.471500,OK
197,4.636800,OK
198,3.845700,OK
199,3.942800,OK
200,4.735100,OK
201,3.951900,OK
202,3.757400,OK
203,3.822500,OK
204,4.841200,OK
205,4.749700,OK
206,4.623100,OK
207,4.768300,OK
208,4.735800,OK
209,4.745800,OK
210,4.114600,OK
211,4.830400,OK
212,4.053300,OK
213,3.909700,OK
214,4.511500,OK
215,4.216000,OK
216,4.098900,OK
217,4.428000,OK
218,4.255100,OK
219,4.044500,OK
220,4.469400,OK
221,4.392600,OK
222,4.225700,OK
223,4.562700,OK
224,3.674700,OK
225,3.753400,OK
226,4.760600,OK
227,3.619400,OK
228,3.715100,OK
229,3.743700,OK
230,4.685100,OK
231,4.611500,OK
232,4.512900,OK
233,4.447900,OK
234,4.333200,OK
235,4.265200,OK
236,4.650600,OK
237,4.767100,OK
238,6.027100,OK
239,5.063200,OK
240,4.610300,OK
241,4.767000,OK
242,4.938800,OK
243,4.663800,OK
244,6.841800,OK
245,4.745300,OK
246,5.446500,OK
247,4.837000,OK
248,4.314400,OK
249,4.516100,OK
250,4.342300,OK
251,4.573400,OK
252,4.779200,OK
253,4.094900,OK
254,4.522100,OK
255,4.692100,OK
256,4.945800,OK
257,4.600700,OK
258,4.533200,OK
259,4.865000,OK
260,4.738900,OK
261,4.615900,OK
262,4.644300,OK
263,4.254700,OK
264,4.421700,OK
265,4.392400,OK
266,4.438000,OK
267,5.294500,OK
268,5.266400,OK
269,5.131400,OK
270,4.840500,OK
271,4.808500,OK
272,4.080200,OK
273,4.521400,OK
274,4.688600,OK
275,5.019600,OK
276,4.651400,OK
277,5.907700,OK
278,5.000700,OK
279,5.214200,OK
280,4.764500,OK
281,4.705000,OK
282,4.866800,OK
283,4.660800,OK
284,5.072900,OK
285,5.373500,OK
286,5.017300,OK
287,5.070200,OK
288,5.736100,OK
289,4.871000,OK
290,4.707500,OK
291,5.052100,OK
292,4.636200,OK
293,5.588100,OK
294,5.641500,OK
295,5.064500,OK
296,5.529600,OK
297,4.728100,OK
298,5.839100,OK
299,5.553000,OK
300,5.561100,OK
301,5.331300,OK
302,5.762100,OK
303,4.950600,OK
304,5.137000,OK
305,5.145200,OK
306,4.045800,OK
307,4.012000,OK
308,3.954900,OK
309,4.078200,OK
310,3.992700,OK
311,3.960500,OK
312,4.622200,OK
313,4.647100,OK
314,3.917900,OK
315,3.974800,OK
316,4.663600,OK
317,3.869100,OK
318,4.154000,OK
319,4.095800,OK
320,4.758300,OK
321,4.324900,OK
322,4.150700,OK
323,3.807200,OK
324,4.198700,OK
325,4.723700,OK
326,4.759400,OK
327,4.823800,OK
328,5.121300,OK
329,4.294400,OK
330,4.613400,OK
331,4.071300,OK
332,4.089400,OK
333,4.711600,OK
334,4.014800,OK
335,4.684500,OK
336,4.836100,OK
337,4.066500,OK
338,4.713000,OK
339,4.716500,OK
340,5.843700,OK
341,5.747800,OK
342,4.083900,OK
343,5.042000,OK
344,4.705100,OK
345,5.062800,OK
346,4.639800,OK
347,4.846600,OK
348,5.076000,OK
349,4.791200,OK
350,4.771300,OK
351,4.955900,OK
352,4.659800,OK
353,4.894200,OK
354,4.558800,OK
355,5.042900,OK
356,4.691000,OK
357,4.609600,OK
358,4.810800,OK
359,4.938100,OK
360,4.778200,OK
361,4.430700,OK
362,5.120300,OK
363,4.524900,OK
364,4.578400,OK
365,4.940300,OK
366,4.847900,OK
367,5.102200,OK
368,4.625800,OK
369,4.375200,OK
370,5.062000,OK
371,4.657200,OK
372,4.704900,OK
373,5.062400,OK
374,4.785700,OK
375,5.061600,OK
376,4.922400,OK
377,5.200300,OK
378,5.122200,OK
379,4.705000,OK
380,4.662000,OK
381,5.170200,OK
382,4.568100,OK
383,4.784500,OK
384,4.625600,OK
385,4.812000,OK
386,4.798000,OK
387,5.040800,OK
388,5.156500,OK
389,5.679000,OK
390,5.508700,OK
391,4.838700,OK
392,4.854600,OK
393,4.955000,OK
394,5.300200,OK
395,5.200400,OK
396,5.327500,OK
397,4.769600,OK
398,4.985900,OK
399,4.746300,OK
400,4.919000,OK
401,5.599600,OK
402,4.880600,OK
403,5.653200,OK
404,4.813600,OK
405,4.794800,OK
406,5.520400,OK
407,5.091300,OK
408,5.600600,OK
409,5.102300,OK
410,3.900600,OK
411,4.120100,OK
412,4.690300,OK
413,3.858900,OK
414,3.981000,OK
415,3.812900,OK
416,3.808100,OK
417,3.933800,OK
418,4.787400,OK
419,4.638300,OK
420,4.201700,OK
421,3.814500,OK
